Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 2/10/2021 6:30:04 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
117862,APPHY 362,"Photonics, Quantm Devices & Na",1,Applied Physics,"Capasso,Federico",0,9,0,0,0,0,0,9
112454,APPHY 364,Exp Soft Condensed Matter,1,Applied Physics,"Weitz,David A.",0,14,0,0,0,0,0,14
125419,APPHY 372,Biological Physics and Quant B,1,Applied Physics,"Needleman,Daniel",0,4,0,0,0,0,0,4
126172,APPHY 374,Signaling Processing and Syste,1,Applied Physics,"Ramanathan,Sharad",0,4,0,0,0,0,0,4
120887,APPHY 392,Exp Soft Cond Matter & Materia,1,Applied Physics,"Manoharan,Vinothan N",0,8,0,0,0,0,0,8
116593,APPHY 394,Exp Stud of Interfaces Surface,1,Applied Physics,"Friend,Cynthia",0,3,0,0,0,0,0,3
142229,APPHY 396,Topics in Materials Science,1,Applied Physics,"Aziz,Michael J.",0,6,0,0,0,0,0,6
148042,APPHY 398,Materials Science,1,Applied Physics,"Spaepen,Frans A.",0,2,0,0,0,0,0,2
108882,APPHY 50B,Phys Fndtn for Sci & Engr Prt,1,Applied Physics,"Mazur,Eric",41,0,0,0,0,0,0,41
108882,APPHY 50B,Phys Fndtn for Sci & Engr Prt,2,Applied Physics,"Mazur,Eric",38,0,0,1,0,0,0,39
112096,ARABIC 130B,Upper-Level Classical Arabic 2,1,Near Eastern Languages & Civ,"Habib,Muhammad Ahmad",0,3,0,0,0,0,0,3
120127,ARABIC 131B,Upper-Level Modern Arabic II,1,Near Eastern Languages & Civ,"Korica Sullivan,Nevenka",4,1,0,0,0,0,0,5
120127,ARABIC 131B,Upper-Level Modern Arabic II,2,Near Eastern Languages & Civ,"Korica Sullivan,Nevenka",7,0,0,1,0,0,0,8
118412,ARABIC 241BR,Advanced Modern Arabic Bridge,1,Near Eastern Languages & Civ,"Habib,Muhammad Ahmad",4,4,0,2,0,0,0,10
118412,ARABIC 241BR,Advanced Modern Arabic Bridge,2,Near Eastern Languages & Civ,"Habib,Muhammad Ahmad",6,0,0,1,0,0,0,7
